YEAR,MONTH,ALLSKY_SFC_SW_DWN,CLOUD_AMT,CLRSKY_KT,PRECTOTCORR,PS,PSC,RH2M,T2M,WD10M,WS10M,WS2M,WSC
2017,OCT,4.53,68.95,0.65,6.43,93.72,76.36,86.57,23.06,43.8,1.98,1.22,2.54
2017,SEP,4.42,84.68,0.65,6.35,93.54,76.29,88.81,24.44,250.5,2.17,1.39,2.79
2018,ANN,4.74,53.25,0.65,4.05,93.72,76.39,66.88,23.7,272.0,3.18,2.12,3.81
2018,APR,6.53,41.67,0.67,2.42,93.7,76.65,50.06,28.93,243.7,3.07,2.1,3.75
2018,AUG,2.44,97.07,0.64,18.59,93.08,75.88,91.06,23.72,273.9,4.58,3.18,5.41
2018,DEC,3.65,39.89,0.59,1.32,94.22,76.47,74.91,17.65,56.6,2.82,1.69,3.59
2018,FEB,5.7,30.1,0.69,0.02,94.15,76.66,42.95,22.03,39.5,2.37,1.48,2.86
2018,JAN,4.96,10.67,0.65,0.0,94.1,76.35,52.79,17.15,42.0,2.39,1.42,2.91
2018,JUL,2.71,98.27,0.64,11.18,93.04,75.88,86.45,24.39,257.9,4.91,3.48,5.61
2018,JUN,4.68,84.63,0.62,3.94,93.17,76.14,69.3,27.31,246.1,3.99,2.88,4.53
2018,MAR,5.72,30.75,0.63,0.77,93.89,76.73,34.8,27.41,291.7,2.59,1.73,3.05
2018,MAY,5.99,57.52,0.65,1.97,93.49,76.54,52.64,30.19,227.3,3.49,2.49,4.09
2018,NOV,4.9,33.36,0.65,0.12,94.19,76.57,77.89,19.86,71.0,2.35,1.33,2.99
2018,OCT,5.24,40.07,0.65,0.71,93.98,76.52,81.21,22.12,39.8,2.77,1.74,3.46
2018,SEP,4.32,75.02,0.65,7.57,93.58,76.28,88.47,23.61,284.6,2.84,1.87,3.45
2019,ANN,4.85,52.94,0.65,5.73,93.76,76.45,68.9,24.16,238.3,3.22,2.14,3.96
2019,APR,6.71,37.52,0.68,1.54,93.72,76.77,38.15,30.78,243.2,3.25,2.24,3.93
2019,AUG,3.35,94.39,0.65,19.44,93.16,75.95,91.47,23.97,250.9,4.32,2.98,5.12
2019,DEC,4.11,34.16,0.61,0.04,94.3,76.52,82.78,17.41,82.4,2.3,1.34,3.09
2019,FEB,5.65,16.52,0.68,0.11,94.18,76.7,49.22,22.43,305.2,2.75,1.73,3.47
2019,JAN,4.61,18.17,0.63,0.23,94.33,76.55,55.56,17.5,70.5,2.58,1.51,3.31
2019,JUL,3.49,90.0,0.65,17.79,93.16,75.99,86.86,24.69,241.8,4.91,3.45,5.72
2019,JUN,5.01,78.26,0.64,7.15,93.24,76.24,69.17,28.22,237.8,3.78,2.67,4.48
2019,MAR,6.2,21.81,0.67,0.18,93.96,76.8,41.52,27.65,252.7,2.79,1.87,3.39
2019,MAY,6.32,50.82,0.66,3.19,93.48,76.58,46.2,30.95,242.1,3.88,2.72,4.66
